Employee_ID,Age,Gender,City,Education_Level,Employment_Type,Experience_Years,Monthly_Income_PKR,Work_Hours_Per_Week,Satisfaction_Level,Has_Certification,Performance_Score,Promoted
37,60,Male,Peshawar,Intermediate,Freelance,21.6,83150,36,Medium,No,81.3,Yes
38,30,Male,Karachi,Bachelor,Unemployed,7.4,2909,0,Medium,Yes,78.7,No
39,55,Male,Karachi,Bachelor,Part-time,15.3,58609,20,Medium,Yes,58.3,No
40,60,Male,Rawalpindi,Master,Freelance,20.2,106413,11,Low,No,77.5,Yes
41,22,Male,Karachi,Master,Part-time,2.9,25691,19,Medium,Yes,73.6,No
42,24,Male,Islamabad,Intermediate,Unemployed,3.1,13058,1,Medium,No,56.3,No
43,60,Male,Karachi,Bachelor,Freelance,15.1,84553,20,High,Yes,74.8,Yes
44,33,Male,Peshawar,Bachelor,Full-time,6.6,59108,45,Medium,Yes,62.6,No
45,26,Female,Islamabad,Bachelor,Full-time,1.7,34695,49,Medium,Yes,66.5,No
46,44,Male,Peshawar,Master,Full-time,22.9,121003,46,Medium,Yes,,Yes
47,,Female,Karachi,Intermediate,Full-time,0.8,19479,47,High,No,68.2,No
48,26,Female,Karachi,Bachelor,Part-time,0.7,533,20,Low,Yes,59.7,No
49,31,Male,Lahore,Intermediate,Freelance,3.6,44780,15,Medium,No,52.4,No
50,21,Male,Islamabad,Bachelor,Freelance,2.0,39030,22,High,No,,No
51,33,Female,Karachi,Bachelor,Part-time,3.3,20858,20,Medium,No,45.7,No
52,25,Female,Lahore,Matric,Full-time,2.2,12372,47,High,Yes,43.3,No
53,55,Female,Rawalpindi,Bachelor,,20.5,117067,53,High,Yes,76.1,Yes
54,41,Female,Peshawar,Bachelor,Full-time,9.7,59180,46,Medium,No,66.2,No
55,27,Male,Islamabad,Master,Unemployed,2.4,12701,7,Medium,No,52.4,No
56,55,Male,Lahore,Master,Freelance,,59388,39,Medium,No,57.8,No
57,39,Female,Karachi,Master,Full-time,4.5,71990,54,High,Yes,69.0,No
58,18,Female,Rawalpindi,Intermediate,Full-time,0.0,26829,50,Medium,Yes,66.1,No
59,36,Female,Karachi,Bachelor,Full-time,10.5,60192,48,High,Yes,80.2,Yes
60,47,Male,Lahore,Intermediate,Full-time,5.6,56466,40,Low,No,54.9,No
61,35,Male,Rawalpindi,Master,Full-time,6.1,68276,80,Medium,No,77.6,Yes
62,26,Male,Rawalpindi,Master,Part-time,3.8,29333,16,Medium,No,65.0,No
63,25,Female,Karachi,Bachelor,Part-time,4.8,42824,24,Low,Yes,69.2,No
64,53,Male,Peshawar,Bachelor,Part-time,23.3,46578,24,High,No,98.6,No
65,37,Female,Peshawar,PhD,Full-time,14.5,112118,37,Low,Yes,71.5,No
66,22,Female,Rawalpindi,Bachelor,Part-time,1.9,34243,24,High,Yes,,No
67,32,Male,Peshawar,Bachelor,Unemployed,6.0,0,4,High,Yes,70.4,No
68,28,Male,,Master,Part-time,2.9,47747,27,High,Yes,82.8,No
69,49,Male,Rawalpindi,Bachelor,Freelance,22.0,95565,24,High,No,84.1,Yes
70,19,Male,Peshawar,Matric,Freelance,0.5,1291,21,High,Yes,45.0,No
71,49,Female,Karachi,Intermediate,Full-time,20.1,103074,50,Medium,No,67.5,No
72,53,Female,Karachi,Matric,Full-time,3.5,,35,Medium,Yes,41.0,No
73,44,Female,Islamabad,Bachelor,Part-time,13.0,42274,23,Medium,No,70.2,No
74,46,Male,Rawalpindi,Matric,Part-time,22.4,50431,15,Medium,Yes,71.0,No
75,25,Male,Rawalpindi,Bachelor,Full-time,6.5,55872,48,High,No,80.2,No
76,53,Female,Karachi,Intermediate,Part-time,22.4,60406,28,Medium,No,77.9,No
77,35,Female,Lahore,Master,Freelance,9.9,,38,Medium,Yes,62.4,No
78,53,Male,Karachi,Master,Freelance,29.4,133343,36,Low,No,90.2,Yes
79,42,Male,Islamabad,Bachelor,Full-time,12.1,59909,49,Low,No,50.6,No
80,18,Female,Karachi,Master,Unemployed,0.0,8213,6,Medium,No,52.8,No
81,52,Male,Lahore,Bachelor,Freelance,14.6,59648,25,Medium,No,68.2,No
82,32,Female,Karachi,PhD,Freelance,9.9,93095,29,High,Yes,88.7,Yes
83,36,Male,Lahore,Bachelor,Full-time,7.4,60758,40,Low,No,49.6,No
84,,Female,Karachi,Master,Full-time,13.8,101069,35,High,Yes,92.3,Yes
85,52,Female,Rawalpindi,Bachelor,Full-time,17.6,91497,43,Medium,Yes,73.9,Yes
86,48,Female,Islamabad,Bachelor,Full-time,8.9,68358,47,Medium,Yes,69.2,No
87,21,Male,Lahore,Master,Full-time,2.4,62908,43,Medium,No,66.7,No
88,60,Female,Rawalpindi,Master,Part-time,9.3,32334,19,Low,,70.1,No
89,44,Female,,Intermediate,Full-time,25.3,88497,40,Medium,No,75.4,Yes
90,36,Male,Rawalpindi,Bachelor,Full-time,13.6,88350,47,High,No,87.8,Yes
91,43,Female,Lahore,Bachelor,Full-time,16.8,89343,55,High,Yes,76.1,No
92,19,Male,Peshawar,Intermediate,Full-time,0.8,37373,48,Low,Yes,45.2,No
93,20,Male,Karachi,Matric,Full-time,1.1,13009,52,Medium,,53.2,No
94,27,Male,Rawalpindi,Master,Part-time,8.5,42099,21,Medium,No,,No
95,41,Female,Lahore,Bachelor,Unemployed,8.2,1759,1,High,No,73.1,No
96,23,Female,Peshawar,PhD,Full-time,1.7,95001,41,Low,No,54.9,No
97,31,Female,Islamabad,Intermediate,Full-time,11.7,,39,High,Yes,76.2,Yes
98,25,Female,Islamabad,Matric,Freelance,1.7,17037,13,,Yes,50.3,No
99,25,Female,Karachi,Bachelor,Full-time,4.2,44590,54,Low,No,52.3,No
100,60,Male,Karachi,Bachelor,Full-time,30.0,150260,38,Medium,No,81.1,No
101,23,Male,Peshawar,Intermediate,Full-time,3.1,20571,47,High,Yes,60.0,No
102,47,Male,Rawalpindi,Master,Full-time,19.0,130424,41,Medium,No,72.9,Yes
103,47,Male,Karachi,Master,Full-time,9.1,83936,50,Low,No,79.8,No
104,24,Male,Islamabad,Bachelor,Part-time,3.4,24504,26,High,No,68.3,No
105,45,Female,Lahore,Bachelor,Full-time,15.6,96670,42,High,Yes,95.5,Yes
106,25,,Peshawar,Intermediate,Full-time,3.9,41479,55,Medium,No,44.2,No
107,60,Male,Rawalpindi,Intermediate,Freelance,9.3,49057,19,Medium,Yes,68.0,No
108,27,Female,Rawalpindi,Master,Full-time,3.8,60063,45,High,Yes,81.7,No
109,21,Female,Islamabad,Master,Full-time,0.2,41891,54,Medium,Yes,68.2,No
110,,Female,Lahore,Bachelor,Full-time,20.4,91663,36,Medium,No,78.4,No
111,31,Male,Islamabad,Master,Freelance,3.8,66616,37,Low,Yes,66.6,No
112,32,Male,Rawalpindi,,Freelance,6.1,45769,30,Medium,Yes,68.5,No
113,58,Male,Lahore,Matric,Full-time,9.7,57226,46,Low,No,38.1,No
114,,Male,Peshawar,Bachelor,Full-time,13.1,83626,40,,No,,No
115,51,Female,,Bachelor,Unemployed,19.4,300000,4,Low,No,70.3,No
116,59,,Islamabad,PhD,Part-time,13.9,49612,25,High,No,80.2,No
117,27,Male,Rawalpindi,Bachelor,Part-time,7.2,25376,17,Medium,Yes,64.9,No
118,21,Male,Lahore,Matric,Freelance,2.6,12328,39,Medium,No,43.6,No
119,20,Male,Peshawar,Bachelor,Full-time,1.0,44002,38,High,No,64.4,No
120,23,Female,Rawalpindi,Intermediate,Full-time,2.2,26716,46,High,Yes,64.7,No
121,39,Female,Lahore,Matric,Full-time,14.2,63601,54,High,Yes,87.2,Yes
122,27,Male,Lahore,PhD,Part-time,3.5,20736,24,Medium,No,56.2,No
123,39,Female,Peshawar,Matric,Part-time,10.7,40744,21,Medium,No,59.6,No
124,30,Female,Islamabad,Intermediate,Full-time,9.5,,51,Low,Yes,58.0,No
125,57,Female,Peshawar,Bachelor,Full-time,24.9,128036,40,High,Yes,80.0,Yes
126,33,Male,Peshawar,Intermediate,Freelance,6.7,31940,40,High,Yes,68.9,No
127,54,Male,Karachi,Master,Freelance,15.1,83748,22,High,Yes,89.9,Yes
128,59,Male,Lahore,Bachelor,Full-time,25.4,132736,40,Medium,No,77.7,No
129,45,Female,Islamabad,Master,Freelance,25.1,109346,33,Medium,No,90.7,Yes
130,19,Male,,,Part-time,0.8,37093,30,Medium,Yes,70.9,No
131,48,Male,Peshawar,Matric,Full-time,7.7,52653,54,Medium,Yes,52.8,No
132,36,Female,Lahore,Intermediate,Full-time,11.5,63151,50,Medium,Yes,67.6,No
133,,Female,Islamabad,Intermediate,Full-time,10.6,56120,,Medium,Yes,,No
134,51,Female,Karachi,Master,Full-time,11.6,,46,High,Yes,93.2,Yes
135,58,Female,Peshawar,Master,Full-time,1.3,36470,40,High,No,62.2,No
136,48,Female,Islamabad,Matric,Freelance,13.7,55089,22,High,Yes,76.4,Yes
137,43,Male,Lahore,Matric,Part-time,7.2,26192,25,Medium,No,53.0,No
138,45,,Karachi,Master,Full-time,26.3,130975,51,Medium,Yes,94.2,Yes
139,45,Female,Peshawar,Intermediate,Full-time,8.9,53461,48,Low,Yes,66.1,No
140,46,Female,Lahore,Bachelor,Full-time,17.9,101712,55,Medium,Yes,78.0,Yes
141,28,Female,,Master,Part-time,4.4,43797,26,Medium,No,68.0,No
142,20,Female,Karachi,Master,Full-time,,,47,Medium,Yes,62.2,No
143,25,Female,Islamabad,Bachelor,Full-time,3.9,50961,49,Medium,No,65.5,No
144,49,Female,Rawalpindi,Intermediate,Full-time,5.2,34795,45,Medium,No,30.0,No
145,53,Male,Lahore,Master,Freelance,,113928,42,Medium,No,78.8,Yes
146,,Male,Rawalpindi,Bachelor,Part-time,7.0,40666,17,Low,Yes,59.3,No
147,48,Male,Karachi,Master,Full-time,29.2,146985,51,Medium,No,84.3,Yes
148,58,Female,Islamabad,Bachelor,Unemployed,1.7,10189,2,Low,No,51.1,No
149,32,Male,Peshawar,Master,Freelance,3.5,45426,18,Medium,No,55.3,No
150,23,Female,Peshawar,Master,Full-time,3.3,61548,53,Low,No,42.9,No
151,23,Female,Peshawar,Intermediate,Full-time,2.9,33956,55,Medium,,52.8,No
152,37,Male,Islamabad,Master,Part-time,5.7,43905,,Medium,Yes,72.5,No
153,39,Female,Lahore,Master,Full-time,,,46,Medium,Yes,94.4,No
154,25,Male,Karachi,Intermediate,Full-time,2.0,20615,42,High,,66.6,No
155,38,Male,Islamabad,Master,,10.3,78742,35,Low,Yes,67.4,No
156,47,Female,Islamabad,Bachelor,Full-time,8.2,47813,50,Medium,Yes,61.2,No
157,24,Male,,Master,Freelance,4.6,50652,46,Medium,Yes,76.1,Yes
158,42,Male,Peshawar,Intermediate,Unemployed,16.3,300000,6,Medium,No,83.7,No
159,53,Male,Islamabad,Intermediate,Full-time,15.0,84752,45,High,Yes,80.7,No
160,50,Female,Lahore,Master,Full-time,11.8,77135,53,Medium,No,61.7,No
161,52,Male,Peshawar,Intermediate,Freelance,11.1,39670,47,Medium,No,43.4,No
162,58,Female,Peshawar,Bachelor,Unemployed,23.5,17008,0,Medium,Yes,76.5,No
163,58,Male,Islamabad,Master,Full-time,17.2,110811,49,Medium,Yes,79.0,Yes
164,44,Male,Rawalpindi,Master,Full-time,14.6,,47,Medium,Yes,81.0,Yes
165,39,Male,Lahore,Bachelor,Full-time,5.2,48199,44,High,No,64.7,No
166,49,Male,Karachi,Intermediate,Unemployed,23.9,12259,8,Medium,No,81.3,No
167,40,Female,Lahore,Matric,Unemployed,1.7,,7,Medium,No,43.5,No
168,35,Male,Islamabad,Matric,Freelance,4.1,52231,24,Medium,Yes,63.0,No
169,44,Male,Karachi,Matric,Freelance,0.1,0,36,Medium,No,41.4,No
170,48,Male,Islamabad,Master,Full-time,8.6,300000,55,Medium,Yes,79.4,Yes
171,20,Female,Karachi,Master,Full-time,1.8,71367,50,Low,No,51.8,No
172,36,Female,Rawalpindi,Intermediate,Part-time,16.7,39720,30,High,Yes,,No
173,50,Male,Lahore,Intermediate,Full-time,,34201,40,Low,Yes,55.0,No
174,36,Female,Islamabad,Bachelor,Part-time,7.3,25339,27,Medium,Yes,72.2,No
175,26,Male,Lahore,Master,Full-time,3.1,54916,45,Medium,No,64.5,No
176,18,Male,Lahore,Bachelor,Full-time,0.0,33724,51,,No,68.6,No
177,37,Female,Lahore,Bachelor,Full-time,18.2,88602,54,Medium,No,76.2,Yes
178,52,Female,Islamabad,Bachelor,Part-time,23.6,51810,26,Low,Yes,76.4,No
179,21,Female,Peshawar,,Full-time,2.6,30174,53,Medium,No,62.2,No
180,46,Female,Karachi,Intermediate,Full-time,15.8,64573,44,High,Yes,76.1,Yes
181,31,Female,Rawalpindi,Bachelor,Freelance,7.0,76759,40,Low,Yes,66.0,No
182,26,Male,Lahore,PhD,Full-time,7.0,102205,52,Low,No,,No
183,25,Female,Peshawar,Bachelor,Full-time,6.9,72393,44,Medium,No,51.0,No
184,45,Male,Islamabad,Intermediate,Full-time,7.4,69710,38,,No,45.2,No
185,57,Female,Islamabad,Intermediate,Full-time,1.0,14214,36,Medium,Yes,50.9,No
186,46,Female,Peshawar,Intermediate,Freelance,1.6,16946,46,Medium,No,52.6,No
187,38,Female,Lahore,Master,Unemployed,10.4,2486,8,High,No,79.8,No
188,29,Male,Peshawar,Bachelor,Unemployed,10.4,0,5,Medium,Yes,60.1,No
189,37,Male,Islamabad,Master,Full-time,16.1,103452,49,High,Yes,100,Yes
190,53,Female,Karachi,Intermediate,Full-time,19.4,114435,37,Medium,No,65.1,No
191,21,Male,Karachi,Bachelor,Part-time,2.6,33604,21,Medium,No,70.4,No
192,39,Male,Rawalpindi,Intermediate,Full-time,,80205,42,Medium,No,54.8,No
193,43,Female,Peshawar,,Full-time,11.7,60825,46,Medium,Yes,64.3,No
194,24,Male,Lahore,Master,Full-time,2.5,53909,39,Low,Yes,56.6,No
195,55,Male,Lahore,Intermediate,Full-time,11.4,72959,55,High,Yes,67.4,No
196,49,Male,Karachi,Intermediate,Freelance,5.1,34696,44,High,No,53.5,No
197,51,Female,Rawalpindi,Master,Part-time,22.9,53567,22,Low,Yes,89.2,No
198,,Male,Lahore,Matric,Part-time,12.1,48221,15,Low,Yes,51.2,No
199,18,Female,Peshawar,Master,Full-time,0.0,34435,,High,No,64.8,No
200,24,Female,Peshawar,Intermediate,Full-time,3.2,40970,47,Low,No,39.7,No
201,47,Female,Islamabad,Intermediate,Freelance,2.3,46304,12,Low,Yes,49.9,No
202,53,Male,Rawalpindi,Bachelor,Freelance,2.5,49473,31,Medium,No,48.2,No
203,24,Female,Islamabad,Intermediate,Freelance,5.3,34205,14,Medium,Yes,63.2,No
204,52,Female,Islamabad,Master,,28.8,136677,47,High,Yes,95.7,Yes
205,54,Male,Peshawar,Intermediate,Freelance,4.2,53804,42,High,Yes,66.7,No
206,24,Male,Islamabad,Master,Full-time,4.6,80681,45,Low,Yes,58.8,No
207,46,Male,Islamabad,Bachelor,Unemployed,12.1,,1,High,Yes,69.7,No
208,33,Female,Rawalpindi,Intermediate,Full-time,11.8,74046,,Low,Yes,67.5,No
209,37,Male,Lahore,Master,Full-time,1.7,45054,51,Medium,Yes,71.2,No
210,40,,Peshawar,Bachelor,Full-time,8.5,64660,37,High,Yes,84.0,Yes
211,33,Female,Karachi,Intermediate,Full-time,4.0,44415,43,Medium,Yes,65.2,No
212,22,Male,Lahore,Master,Freelance,2.0,41132,18,Medium,No,55.3,No
213,39,Male,Lahore,Bachelor,Full-time,17.3,89159,44,Medium,No,65.3,No
214,30,Male,Lahore,Intermediate,Full-time,3.8,37687,53,High,Yes,55.9,No
215,35,Male,Lahore,Matric,Part-time,10.1,11925,,High,Yes,66.7,No
216,31,Male,Lahore,Master,Full-time,11.0,350000,39,Medium,Yes,65.6,No
217,60,Female,Karachi,,Full-time,29.7,144908,51,High,No,98.7,Yes
218,20,Male,Peshawar,Bachelor,Unemployed,0.2,4841,2,Medium,Yes,73.0,No
219,59,Male,Lahore,PhD,Full-time,0.3,68262,51,Medium,No,72.9,No
220,32,Male,Lahore,Bachelor,Freelance,8.2,45656,11,Medium,Yes,70.0,No
221,23,Female,Islamabad,Intermediate,Full-time,3.9,28642,38,Medium,No,54.3,No
222,38,Female,Lahore,Matric,Freelance,0.5,13599,20,High,No,56.8,No
223,51,Female,Peshawar,Intermediate,Part-time,28.8,71131,20,Low,No,81.8,No
224,43,Female,Peshawar,Master,Full-time,10.7,98791,43,High,No,76.9,No
225,24,Female,Lahore,Intermediate,Full-time,1.6,41155,55,Medium,Yes,51.3,No
226,43,Female,Lahore,Bachelor,Full-time,4.3,43096,54,Medium,No,47.0,No
227,38,Female,Islamabad,Intermediate,Full-time,13.9,62188,39,Medium,Yes,71.7,No
228,49,Female,Peshawar,Intermediate,Full-time,5.6,54712,46,High,Yes,59.8,No
229,30,Male,Peshawar,Bachelor,Full-time,8.2,46883,50,Low,Yes,68.8,No
230,32,Male,Rawalpindi,Intermediate,Full-time,2.4,15338,50,Medium,Yes,63.1,No
231,25,Male,Peshawar,Master,Full-time,5.8,91770,52,Medium,Yes,74.7,Yes
232,59,Female,Lahore,Master,Full-time,7.9,83967,38,High,Yes,77.1,Yes
233,55,Male,Peshawar,Bachelor,Full-time,4.2,54899,36,Medium,Yes,70.9,No
234,56,Female,Lahore,PhD,Full-time,17.2,141983,38,Low,No,70.1,No
235,44,Female,Lahore,Master,Full-time,22.5,131788,42,High,No,100,Yes
236,54,Male,Karachi,,Full-time,23.8,122742,43,Medium,No,73.1,Yes
237,49,Male,Peshawar,Matric,Freelance,22.0,79161,52,Medium,No,62.4,No
238,52,Male,Islamabad,PhD,Freelance,14.8,97498,70,Medium,Yes,91.1,Yes
239,39,Female,Rawalpindi,,Freelance,9.7,60992,38,Medium,No,68.8,No
240,45,Female,Islamabad,Master,Full-time,23.6,139393,46,Medium,Yes,88.5,Yes
241,28,Female,Karachi,Bachelor,Freelance,7.6,50172,80,Low,Yes,61.9,No
242,26,Female,Peshawar,Bachelor,Full-time,5.6,72228,48,Medium,Yes,,No
243,32,Male,,Master,Full-time,4.4,73178,39,Medium,No,60.9,No
244,22,Female,Peshawar,Bachelor,Full-time,2.9,43383,48,,Yes,60.9,No
245,31,Female,Rawalpindi,Intermediate,Full-time,9.5,51679,39,Medium,No,68.3,No
246,33,Male,Rawalpindi,Master,Part-time,4.5,23577,27,Medium,Yes,68.9,No
247,33,Male,Karachi,Matric,Full-time,,16576,46,High,Yes,64.9,No
248,54,Male,Lahore,Bachelor,Full-time,14.1,92007,53,Low,Yes,67.3,No
249,20,Female,Karachi,Bachelor,Part-time,1.0,6731,17,Medium,Yes,68.4,No
250,27,Male,Rawalpindi,Intermediate,Full-time,1.8,37608,47,Medium,No,43.7,No
251,59,Female,Lahore,Bachelor,Freelance,25.4,112627,37,Low,No,75.1,No
252,60,Female,Rawalpindi,Matric,Full-time,0.3,7979,51,High,No,53.5,No
253,28,Male,Islamabad,Master,Freelance,7.3,85749,31,High,Yes,90.6,No
254,54,Female,Karachi,Bachelor,Full-time,15.0,80010,43,High,No,74.4,Yes
255,25,Female,Peshawar,Matric,Freelance,0.1,26540,,Low,No,40.3,No
256,20,Male,Islamabad,Intermediate,Full-time,1.4,30256,46,Low,No,46.7,No
257,21,Female,Islamabad,Master,Unemployed,2.9,19762,4,High,Yes,77.9,No
258,23,Male,Rawalpindi,Bachelor,Full-time,3.9,51064,46,Medium,Yes,59.3,No
259,30,Female,Islamabad,Matric,Full-time,2.8,14726,35,High,Yes,74.7,No
260,60,Male,Lahore,Matric,Full-time,7.1,38637,39,High,,67.0,No
261,32,Male,Lahore,Bachelor,Freelance,8.1,39318,35,Low,Yes,60.5,No
262,45,Female,Islamabad,Intermediate,Freelance,,78748,30,Medium,Yes,93.9,No
263,30,,Peshawar,Matric,Full-time,5.4,34516,46,High,Yes,68.7,No
264,37,Male,Lahore,Master,Full-time,15.3,100288,54,Low,No,78.6,Yes
265,23,Female,Lahore,Bachelor,Full-time,1.5,,47,High,Yes,64.2,No
266,53,Female,Rawalpindi,Bachelor,Freelance,4.2,67335,24,Low,No,51.8,No
267,41,Female,Peshawar,Bachelor,,1.7,13238,7,High,Yes,68.8,No
268,39,Female,Rawalpindi,Master,Full-time,19.4,103307,50,Low,No,76.6,No
269,31,Female,Lahore,Intermediate,Freelance,0.5,16985,28,Medium,No,47.5,No
270,48,Female,Rawalpindi,Intermediate,Full-time,6.0,57974,55,High,Yes,63.1,No
271,19,Male,Lahore,Bachelor,Freelance,0.3,23507,27,Low,Yes,49.5,No
272,32,Female,Lahore,Matric,Unemployed,7.4,10286,2,Low,No,25,No
273,35,Female,Islamabad,Bachelor,Unemployed,6.6,41376,2,Low,No,43.5,No
274,40,Female,Lahore,Master,Part-time,12.4,66526,30,,Yes,100,No
275,20,Female,Rawalpindi,Intermediate,Full-time,1.1,56681,41,High,Yes,64.3,No
276,29,Male,Rawalpindi,Matric,Part-time,10.1,32885,26,High,Yes,54.8,No
277,60,Male,Peshawar,Matric,Full-time,4.1,48406,55,High,No,73.8,No
278,53,Male,Islamabad,Bachelor,Freelance,11.4,65208,21,High,No,66.9,No
279,54,Male,Peshawar,Matric,Part-time,27.6,71332,18,High,Yes,88.2,No
280,22,Female,Lahore,PhD,Full-time,3.5,96249,55,High,Yes,85.5,No
281,31,Female,Rawalpindi,Bachelor,Freelance,9.4,72566,36,High,No,73.9,Yes
282,42,Male,Peshawar,Bachelor,Freelance,18.9,70689,24,Low,Yes,66.4,No
283,20,Male,Rawalpindi,Intermediate,Unemployed,0.1,8764,1,Medium,No,57.9,No
284,23,Male,Peshawar,PhD,Freelance,3.5,52339,48,High,Yes,83.7,No
285,31,Female,Karachi,Bachelor,Freelance,9.5,59628,25,Low,Yes,68.9,No
286,53,Male,Islamabad,Matric,Full-time,2.6,34627,50,Low,,36.8,No
287,28,Male,Rawalpindi,Bachelor,Full-time,7.8,40252,43,Low,Yes,,No
288,29,Male,Karachi,Bachelor,Full-time,,39761,43,Medium,Yes,65.4,No
289,60,Female,Rawalpindi,Bachelor,Freelance,12.4,69539,13,High,No,68.9,No
290,44,Male,Peshawar,Master,Full-time,2.1,75909,51,Medium,Yes,60.0,No
291,54,Female,Rawalpindi,Master,Full-time,28.5,156868,41,Low,Yes,92.1,Yes
292,45,Female,Islamabad,Master,Full-time,24.6,142935,47,Medium,Yes,90.5,Yes
293,,Male,Rawalpindi,Master,Part-time,15.7,48508,19,,No,80.3,No
294,24,Female,Peshawar,Master,Freelance,5.2,78473,26,Medium,Yes,59.5,No
295,56,Male,Rawalpindi,Intermediate,Full-time,18.5,85627,47,High,Yes,76.0,No
296,48,Male,Lahore,Matric,Freelance,9.1,39727,54,Medium,No,66.1,No
297,32,Female,Lahore,PhD,Full-time,11.6,107083,55,Low,Yes,81.0,Yes
298,44,Male,Peshawar,Master,Freelance,13.4,90522,42,Medium,No,79.5,Yes
299,54,Female,Islamabad,Intermediate,Freelance,25.1,96814,,High,Yes,99.4,Yes
300,50,Male,Rawalpindi,Bachelor,,14.7,60673,50,Medium,Yes,83.9,No
